,agency,slot,size,min,max,50-p,50-r,75-p,75-r,85-p,85-r,90-p,90-r,95-p,95-r,96-p,96-r,97-p,97-r,98-p,98-r,99-p,99-r,100-p,100-r
69,34003-26,D,652,2.0,4202768.0,926.0,326,1813.0,163,2689.0,98,3471.0,66,5372.0,33,5466.0,27,7232.0,20,8110.0,14,13831.0,7,4202768.0,0
70,34003-26,N,541,2.0,27861.0,958.0,271,2691.0,136,4485.0,82,6266.0,55,9914.0,28,12341.0,22,13478.0,17,17044.0,11,18896.0,6,27861.0,0
71,34003-26,W,386,87.0,24384.0,1749.0,193,2731.0,97,4575.0,58,6285.0,39,9862.0,20,11670.0,16,13551.0,12,16189.0,8,16279.0,4,24384.0,0
72,34003-27,D,1711,2.0,1570945.0,900.0,856,927.0,428,949.0,257,992.0,172,1496.0,86,1794.0,69,1815.0,52,1866.0,35,3530.0,18,1570945.0,0
73,34003-27,N,1976,533.0,9919.0,903.0,988,929.0,494,960.0,297,1778.0,198,1836.0,99,1910.0,80,2707.0,60,3595.0,40,4506.0,20,9919.0,0
74,34003-27,W,1365,198.0,10791.0,905.0,683,938.0,342,1262.0,205,1797.0,137,1896.0,69,2685.0,55,2708.0,41,2792.0,28,4454.0,14,10791.0,0
75,34003-28,D,514,2.0,43308.0,1813.0,257,6235.0,129,10746.0,78,14415.0,52,18934.0,26,19021.0,21,20971.0,16,25367.0,11,28079.0,6,43308.0,0
76,34003-28,N,477,5.0,59604.0,1838.0,239,8150.0,120,12588.0,72,17810.0,48,27732.0,24,30506.0,20,34290.0,15,42237.0,10,46501.0,5,59604.0,0
77,34003-28,W,258,678.0,67411.0,3597.0,129,12471.0,65,19650.0,39,23308.0,26,30611.0,13,31674.0,11,35232.0,8,36082.0,6,53970.0,3,67411.0,0
78,34003-29,D,943,2.0,40538.0,1736.0,472,3375.0,236,4513.0,142,6172.0,95,8127.0,48,9890.0,38,12599.0,29,16148.0,19,24435.0,10,40538.0,0
79,34003-29,N,724,4.0,28125.0,1813.0,362,5373.0,181,8076.0,109,9970.0,73,14449.0,37,16980.0,29,19080.0,22,20008.0,15,22533.0,8,28125.0,0
80,34003-29,W,481,98.0,58583.0,1838.0,241,6044.0,121,9854.0,73,11774.0,49,17119.0,25,18140.0,20,20672.0,15,23412.0,10,27218.0,5,58583.0,0
81,34003-30,D,1780,2.0,23499.0,910.0,890,1207.0,445,1815.0,267,2664.0,178,3592.0,89,3683.0,72,4489.0,54,5404.0,36,9882.0,18,23499.0,0
82,34003-30,N,1687,2.0,25194.0,915.0,844,1811.0,422,2713.0,254,3624.0,169,5406.0,85,6300.0,68,7211.0,51,8959.0,34,10788.0,17,25194.0,0
83,34003-30,W,942,141.0,36962.0,939.0,471,2699.0,236,3677.0,142,5398.0,95,8090.0,48,8997.0,38,9889.0,29,12578.0,19,15287.0,10,36962.0,0
84,34003-31,D,686,6.0,55780.0,1799.0,343,4192.0,172,6356.0,103,8997.0,69,13517.0,35,17118.0,28,25178.0,21,30586.0,14,45008.0,7,55780.0,0
85,34003-31,N,396,757.0,66829.0,1828.0,198,8994.0,99,13504.0,60,20685.0,40,30619.0,20,36019.0,16,38661.0,12,46784.0,8,52180.0,4,66829.0,0
86,34003-31,W,273,241.0,86233.0,2694.0,137,10786.0,69,16636.0,41,20684.0,28,33744.0,14,41394.0,11,48153.0,9,54415.0,6,64337.0,3,86233.0,0
87,34003-32,D,865,2.0,201439.0,1015.0,433,2715.0,217,4502.0,130,6316.0,87,10851.0,44,13677.0,35,15663.0,26,17104.0,18,20159.0,9,201439.0,0
88,34003-32,N,554,5.0,86410.0,1833.0,277,5912.0,139,10192.0,84,13171.0,56,21310.0,28,23411.0,23,24878.0,17,28440.0,12,43820.0,6,86410.0,0
89,34003-32,W,316,228.0,120148.0,3011.0,158,8997.0,79,13499.0,48,15329.0,32,28253.0,16,29725.0,13,33302.0,10,35439.0,7,39291.0,4,120148.0,0
90,34003-35,D,2326,8.0,12645.0,922.0,1163,955.0,582,981.0,349,1077.0,233,1820.0,117,1842.0,94,1886.0,70,2699.0,47,3524.0,24,12645.0,0
91,34003-35,N,2409,8.0,21563.0,927.0,1205,1021.0,603,1815.0,362,2613.0,241,2892.0,121,3579.0,97,3678.0,73,4580.0,49,6323.0,25,21563.0,0
